Classe,Joueur
KH,Pensive Chatterjee
KH,Trusting Jemison
KH,Musing Heyrovsky
KH,Compassionate Lamport
KH,Suspicious Dirac
KH,Relaxed Brown
KH,Sweet Wright
KH,Infallible Jackson
KH,Competent Grothendieck
KH,Wonderful Fermat
KH,Crazy Hugle
KH,Priceless Ptolemy
KH,Jovial Villani
KH,Quirky Edison
KH,Sharp Cartwright
KH,Sharp Gagarin
KH,Eager Carver
KH,Angry Dubinsky
KH,Boring Kowalevski
KH,Elated Albattani
KH,Youthful Proskuriakova
KH,Wizardly Nightingale
KH,Funny Burnell
MP,Friendly Golick
MP,Affectionate Wescoff
MP,Zen Sanderson
MP,Modest Sutherland
MP,Pedantic Clarke
MP,Naughty Cohen
MP,Unruffled Saha
MP,Gifted Nobel
MP,Objective Shamir
MP,Determined Wu
MP,Suspicious Diffie
MP,Strange Brahmagupta
MP,Loving Rhodes
MP,Quirky Spence
MP,Gallant Mestorf
MP,Eloquent Herschel
MP,Fervent Aryabhata
MP,Jovial Wilbur
MP,Happy Lovelace
MP,Quirky Keller
MP,Clever Kowalevski
MP,Sleepy Goldberg
MP,Confident Booth
MP,Lucid Buck
MPI,Loving Blackburn
MPI,Affectionate Johnson
MPI,Trusting Dubinsky
MPI,Romantic Hertz
MPI,Admiring Lumiere
MPI,Blissful Allen
MPI,Pedantic Dubinsky
MPI,Gifted Margulis
MPI,Distracted Chebyshev
MPI,Busy Wozniak
MPI,Intelligent Gates
MPI,Zen Brown
MPI,Amazing Hopper
MPI,Priceless Banzai
MPI,Mystifying Albattani
MPI,Admiring Elbakyan
MPI,Adoring Bouman
MPI,Competent Benz
MPI,Thirsty Tesla
MPI,Upbeat Grothendieck
MPI,Goofy Bhaskara
MPI,Optimistic Jang
MPI,Keen Easley
MPI,Beautiful Pare
PC,Sweet Shaw
PC,Intelligent Buck
PC,Awesome Euler
PC,Peaceful Dubinsky
PC,Priceless Einstein
PC,Affectionate Cray
PC,Relaxed Hoover
PC,Competent Heisenberg
PC,Condescending Ritchie
PC,Intelligent Taussig
PC,Happy Mirzakhani
PC,Stoic Ellis
PC,Great Cori
PC,Interesting Easley
PC,Nice Ellis
PC,Laughing Yonath
PC,Naughty Yonath
PC,Relaxed Goldwasser
PC,Boring Haslett
PC,Eager Black
PC,Adoring Pike
PC,Thirsty Curie
PC,Brave Grothendieck
PC,Infallible Nightingale
PSI,Ecstatic Faraday
PSI,Bold Matsumoto
PSI,Strange Bhabha
PSI,Intelligent Morse
PSI,Competent Maxwell
PSI,Elastic Franklin
PSI,Sad Austin
PSI,Bold Cray
PSI,Wizardly Yonath
PSI,Optimistic Agnesi
PSI,Sleepy Perlman
PSI,Recursing Bhaskara
PSI,Compassionate Bohr
PSI,Confident Kare
PSI,Vigorous Haibt
PSI,Lucid Shannon
PSI,Distracted Pasteur
PSI,Interesting Beaver
PSI,Romantic Wiles
PSI,Angry Villani
PSI,Tender Liskov
PSI,Dreamy Noether
PSI,Kind Carver
PSI,Busy Diffie
